Crop,Sowing Month
RICE,June
RICE,July
RICE,November
RICE,December
RICE,January
RICE,February
RICE,May
RICE,August
PEARL MILLET,July
CHICKPEA,October
GROUNDNUT,May
GROUNDNUT,June
WHEAT,November
SORGHUM,June
SORGHUM,July
SORGHUM,September
SORGHUM,October
MAIZE,June
MAIZE,July
MAIZE,October
MAIZE,November
MAIZE,January
MAIZE,February
FINGER MILLET,June
FINGER MILLET,July
BARLEY,November
BARLEY,December
PIGEONPEA,June
PIGEONPEA,July
MINOR PULSES,October
MINOR PULSES,November
SESAMUM,April
SESAMUM,May
RAPESEED AND MUSTARD,September
RAPESEED AND MUSTARD,October
SAFFLOWER,September
SAFFLOWER,October
CASTOR,June
CASTOR,July
CASTOR,August
CASTOR,September
CASTOR,October
SUNFLOWER,January
SUNFLOWER,February
SOYABEAN,June
OILSEEDS,June
OILSEEDS,July
OILSEEDS,August
OILSEEDS,October
COTTON,June
COTTON,July